1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F2000000337EB041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:03:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:43:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10650
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
05/08/14 10:23:01 PM,%RH,101.372
05/08/14 10:43:01 PM,%RH,101.372
05/08/14 11:03:01 PM,%RH,101.372
05/08/14 11:23:01 PM,%RH,101.372
05/08/14 11:43:01 PM,%RH,100.889
06/08/14 12:03:01 AM,%RH,99.43
06/08/14 12:23:01 AM,%RH,99.43
06/08/14 12:43:01 AM,%RH,97.957
06/08/14 01:03:01 AM,%RH,99.917
06/08/14 01:23:01 AM,%RH,99.917
06/08/14 01:43:01 AM,%RH,98.94
06/08/14 02:03:01 AM,%RH,99.917
06/08/14 02:23:01 AM,%RH,99.917
06/08/14 02:43:01 AM,%RH,99.917
06/08/14 03:03:01 AM,%RH,99.43
06/08/14 03:23:01 AM,%RH,99.917
06/08/14 03:43:01 AM,%RH,99.917
06/08/14 04:03:01 AM,%RH,99.917
06/08/14 04:23:01 AM,%RH,100.404
06/08/14 04:43:01 AM,%RH,101.372
06/08/14 05:03:01 AM,%RH,100.404
06/08/14 05:23:01 AM,%RH,100.889
06/08/14 05:43:01 AM,%RH,100.889
06/08/14 06:03:01 AM,%RH,101.372
06/08/14 06:23:01 AM,%RH,100.889
06/08/14 06:43:01 AM,%RH,102.814
06/08/14 07:03:01 AM,%RH,99.43
06/08/14 07:23:01 AM,%RH,100.404
06/08/14 07:43:01 AM,%RH,100.404
06/08/14 08:03:01 AM,%RH,100.889
06/08/14 08:23:01 AM,%RH,101.372
06/08/14 08:43:01 AM,%RH,101.854
06/08/14 09:03:01 AM,%RH,102.335
06/08/14 09:23:01 AM,%RH,101.854
06/08/14 09:43:01 AM,%RH,102.814
06/08/14 10:03:01 AM,%RH,101.372
06/08/14 10:23:01 AM,%RH,101.372
06/08/14 10:43:01 AM,%RH,100.889
06/08/14 11:03:01 AM,%RH,101.854
06/08/14 11:23:01 AM,%RH,101.854
06/08/14 11:43:01 AM,%RH,101.854
06/08/14 12:03:01 PM,%RH,100.889
06/08/14 12:23:01 PM,%RH,101.854
06/08/14 12:43:01 PM,%RH,102.335
06/08/14 01:03:01 PM,%RH,101.854
06/08/14 01:23:01 PM,%RH,101.854
06/08/14 01:43:01 PM,%RH,100.889
06/08/14 02:03:01 PM,%RH,101.372
06/08/14 02:23:01 PM,%RH,101.854
06/08/14 02:43:01 PM,%RH,101.854
06/08/14 03:03:01 PM,%RH,101.854
06/08/14 03:23:01 PM,%RH,103.291
06/08/14 03:43:01 PM,%RH,101.372
06/08/14 04:03:01 PM,%RH,101.372
06/08/14 04:23:01 PM,%RH,101.854
06/08/14 04:43:01 PM,%RH,101.372
06/08/14 05:03:01 PM,%RH,100.889
06/08/14 05:23:01 PM,%RH,101.854
06/08/14 05:43:01 PM,%RH,101.372
06/08/14 06:03:01 PM,%RH,101.854
06/08/14 06:23:01 PM,%RH,101.854
06/08/14 06:43:01 PM,%RH,101.372
06/08/14 07:03:01 PM,%RH,100.889
06/08/14 07:23:01 PM,%RH,103.291
06/08/14 07:43:01 PM,%RH,99.917
06/08/14 08:03:01 PM,%RH,102.335
06/08/14 08:23:01 PM,%RH,101.372
06/08/14 08:43:01 PM,%RH,100.889
06/08/14 09:03:01 PM,%RH,100.889
06/08/14 09:23:01 PM,%RH,101.372
06/08/14 09:43:01 PM,%RH,101.854
06/08/14 10:03:01 PM,%RH,101.854
06/08/14 10:23:01 PM,%RH,100.889
06/08/14 10:43:01 PM,%RH,101.854
06/08/14 11:03:01 PM,%RH,101.372
06/08/14 11:23:01 PM,%RH,101.854
06/08/14 11:43:01 PM,%RH,101.854
07/08/14 12:03:01 AM,%RH,100.889
07/08/14 12:23:01 AM,%RH,101.854
07/08/14 12:43:01 AM,%RH,102.335
07/08/14 01:03:01 AM,%RH,101.854
07/08/14 01:23:01 AM,%RH,102.335
07/08/14 01:43:01 AM,%RH,102.335
07/08/14 02:03:01 AM,%RH,100.889
07/08/14 02:23:01 AM,%RH,100.404
07/08/14 02:43:01 AM,%RH,99.917
07/08/14 03:03:01 AM,%RH,100.889
07/08/14 03:23:01 AM,%RH,99.917
07/08/14 03:43:01 AM,%RH,100.404
07/08/14 04:03:01 AM,%RH,99.917
07/08/14 04:23:01 AM,%RH,100.404
07/08/14 04:43:01 AM,%RH,100.404
07/08/14 05:03:01 AM,%RH,99.917
07/08/14 05:23:01 AM,%RH,100.404
07/08/14 05:43:01 AM,%RH,100.404
07/08/14 06:03:01 AM,%RH,101.372
07/08/14 06:23:01 AM,%RH,99.917
07/08/14 06:43:01 AM,%RH,99.917
07/08/14 07:03:01 AM,%RH,101.372
07/08/14 07:23:01 AM,%RH,102.335
07/08/14 07:43:01 AM,%RH,102.335
07/08/14 08:03:01 AM,%RH,102.335
07/08/14 08:23:01 AM,%RH,101.372
07/08/14 08:43:01 AM,%RH,100.889
07/08/14 09:03:01 AM,%RH,101.854
07/08/14 09:23:01 AM,%RH,100.889
07/08/14 09:43:01 AM,%RH,100.404
07/08/14 10:03:01 AM,%RH,101.854
07/08/14 10:23:01 AM,%RH,101.372
07/08/14 10:43:01 AM,%RH,101.854
07/08/14 11:03:01 AM,%RH,102.335
07/08/14 11:23:01 AM,%RH,101.854
07/08/14 11:43:01 AM,%RH,101.372
07/08/14 12:03:01 PM,%RH,101.372
07/08/14 12:23:01 PM,%RH,101.372
07/08/14 12:43:01 PM,%RH,102.335
07/08/14 01:03:01 PM,%RH,100.889
07/08/14 01:23:01 PM,%RH,101.854
07/08/14 01:43:01 PM,%RH,100.889
07/08/14 02:03:01 PM,%RH,101.854
07/08/14 02:23:01 PM,%RH,101.372
07/08/14 02:43:01 PM,%RH,101.854
07/08/14 03:03:01 PM,%RH,101.372
07/08/14 03:23:01 PM,%RH,101.372
07/08/14 03:43:01 PM,%RH,100.889
07/08/14 04:03:01 PM,%RH,101.372
07/08/14 04:23:01 PM,%RH,101.372
07/08/14 04:43:01 PM,%RH,101.372
07/08/14 05:03:01 PM,%RH,101.854
07/08/14 05:23:01 PM,%RH,100.889
07/08/14 05:43:01 PM,%RH,101.372
07/08/14 06:03:01 PM,%RH,101.372
07/08/14 06:23:01 PM,%RH,101.372
07/08/14 06:43:01 PM,%RH,101.372
07/08/14 07:03:01 PM,%RH,101.854
07/08/14 07:23:01 PM,%RH,101.372
07/08/14 07:43:01 PM,%RH,100.889
07/08/14 08:03:01 PM,%RH,101.854
07/08/14 08:23:01 PM,%RH,101.372
07/08/14 08:43:01 PM,%RH,101.372
07/08/14 09:03:01 PM,%RH,100.889
07/08/14 09:23:01 PM,%RH,100.889
07/08/14 09:43:01 PM,%RH,100.404
07/08/14 10:03:01 PM,%RH,102.814
07/08/14 10:23:01 PM,%RH,102.814
07/08/14 10:43:01 PM,%RH,100.889
07/08/14 11:03:01 PM,%RH,102.814
07/08/14 11:23:01 PM,%RH,101.372
07/08/14 11:43:01 PM,%RH,101.854
08/08/14 12:03:01 AM,%RH,101.372
08/08/14 12:23:01 AM,%RH,101.854
08/08/14 12:43:01 AM,%RH,101.372
08/08/14 01:03:01 AM,%RH,101.854
08/08/14 01:23:01 AM,%RH,102.335
08/08/14 01:43:01 AM,%RH,101.372
08/08/14 02:03:01 AM,%RH,101.372
08/08/14 02:23:01 AM,%RH,101.854
08/08/14 02:43:01 AM,%RH,101.854
08/08/14 03:03:01 AM,%RH,101.372
08/08/14 03:23:01 AM,%RH,100.889
08/08/14 03:43:01 AM,%RH,102.814
08/08/14 04:03:01 AM,%RH,101.854
08/08/14 04:23:01 AM,%RH,102.814
08/08/14 04:43:01 AM,%RH,102.814
08/08/14 05:03:01 AM,%RH,102.335
08/08/14 05:23:01 AM,%RH,101.854
08/08/14 05:43:01 AM,%RH,100.889
08/08/14 06:03:01 AM,%RH,101.854
08/08/14 06:23:01 AM,%RH,101.372
08/08/14 06:43:01 AM,%RH,101.854
08/08/14 07:03:01 AM,%RH,101.372
08/08/14 07:23:01 AM,%RH,101.372
08/08/14 07:43:01 AM,%RH,101.372
08/08/14 08:03:01 AM,%RH,101.372
08/08/14 08:23:01 AM,%RH,101.854
08/08/14 08:43:01 AM,%RH,101.372
08/08/14 09:03:01 AM,%RH,101.372
08/08/14 09:23:01 AM,%RH,101.854
08/08/14 09:43:01 AM,%RH,102.335
08/08/14 10:03:01 AM,%RH,101.372
08/08/14 10:23:01 AM,%RH,101.854
08/08/14 10:43:01 AM,%RH,101.854
08/08/14 11:03:01 AM,%RH,101.372
08/08/14 11:23:01 AM,%RH,101.854
08/08/14 11:43:01 AM,%RH,102.335
08/08/14 12:03:01 PM,%RH,101.854
08/08/14 12:23:01 PM,%RH,102.335
08/08/14 12:43:01 PM,%RH,101.854
08/08/14 01:03:01 PM,%RH,101.854
08/08/14 01:23:01 PM,%RH,101.372
08/08/14 01:43:01 PM,%RH,102.335
08/08/14 02:03:01 PM,%RH,102.335
08/08/14 02:23:01 PM,%RH,102.335
08/08/14 02:43:01 PM,%RH,101.372
08/08/14 03:03:01 PM,%RH,101.372
08/08/14 03:23:01 PM,%RH,103.291
08/08/14 03:43:01 PM,%RH,102.335
08/08/14 04:03:01 PM,%RH,100.889
08/08/14 04:23:01 PM,%RH,101.854
08/08/14 04:43:01 PM,%RH,101.854
08/08/14 05:03:01 PM,%RH,101.372
08/08/14 05:23:01 PM,%RH,101.854
08/08/14 05:43:01 PM,%RH,101.372
08/08/14 06:03:01 PM,%RH,101.372
08/08/14 06:23:01 PM,%RH,101.854
08/08/14 06:43:01 PM,%RH,101.854
08/08/14 07:03:01 PM,%RH,102.335
08/08/14 07:23:01 PM,%RH,102.335
08/08/14 07:43:01 PM,%RH,102.814
08/08/14 08:03:01 PM,%RH,102.335
08/08/14 08:23:01 PM,%RH,101.372
08/08/14 08:43:01 PM,%RH,101.854
08/08/14 09:03:01 PM,%RH,101.372
08/08/14 09:23:01 PM,%RH,102.335
08/08/14 09:43:01 PM,%RH,102.335
08/08/14 10:03:01 PM,%RH,101.372
08/08/14 10:23:01 PM,%RH,101.854
08/08/14 10:43:01 PM,%RH,101.372
08/08/14 11:03:01 PM,%RH,100.889
08/08/14 11:23:01 PM,%RH,100.889
08/08/14 11:43:01 PM,%RH,100.404
09/08/14 12:03:01 AM,%RH,100.889
09/08/14 12:23:01 AM,%RH,100.404
09/08/14 12:43:01 AM,%RH,100.404
09/08/14 01:03:01 AM,%RH,100.889
09/08/14 01:23:01 AM,%RH,100.889
09/08/14 01:43:01 AM,%RH,99.43
09/08/14 02:03:01 AM,%RH,99.917
09/08/14 02:23:01 AM,%RH,100.404
09/08/14 02:43:01 AM,%RH,101.372
09/08/14 03:03:01 AM,%RH,101.372
09/08/14 03:23:01 AM,%RH,101.854
09/08/14 03:43:01 AM,%RH,100.889
09/08/14 04:03:01 AM,%RH,99.917
09/08/14 04:23:01 AM,%RH,99.917
09/08/14 04:43:01 AM,%RH,100.889
09/08/14 05:03:01 AM,%RH,100.889
09/08/14 05:23:01 AM,%RH,101.372
09/08/14 05:43:01 AM,%RH,100.889
09/08/14 06:03:01 AM,%RH,101.372
09/08/14 06:23:01 AM,%RH,101.854
09/08/14 06:43:01 AM,%RH,101.854
09/08/14 07:03:01 AM,%RH,101.372
09/08/14 07:23:01 AM,%RH,101.372
09/08/14 07:43:01 AM,%RH,101.854
09/08/14 08:03:01 AM,%RH,101.854
09/08/14 08:23:01 AM,%RH,101.372
09/08/14 08:43:01 AM,%RH,102.335
09/08/14 09:03:01 AM,%RH,102.335
09/08/14 09:23:01 AM,%RH,102.335
09/08/14 09:43:01 AM,%RH,102.335
09/08/14 10:03:01 AM,%RH,101.854
09/08/14 10:23:01 AM,%RH,103.291
09/08/14 10:43:01 AM,%RH,102.335
09/08/14 11:03:01 AM,%RH,102.335
09/08/14 11:23:01 AM,%RH,101.854
09/08/14 11:43:01 AM,%RH,100.889
09/08/14 12:03:01 PM,%RH,101.854
09/08/14 12:23:01 PM,%RH,102.814
09/08/14 12:43:01 PM,%RH,102.335
09/08/14 01:03:01 PM,%RH,102.814
09/08/14 01:23:01 PM,%RH,101.854
09/08/14 01:43:01 PM,%RH,101.854
09/08/14 02:03:01 PM,%RH,101.372
09/08/14 02:23:01 PM,%RH,101.854
09/08/14 02:43:01 PM,%RH,101.372
09/08/14 03:03:01 PM,%RH,101.854
09/08/14 03:23:01 PM,%RH,101.372
09/08/14 03:43:01 PM,%RH,101.372
09/08/14 04:03:01 PM,%RH,101.372
09/08/14 04:23:01 PM,%RH,101.372
09/08/14 04:43:01 PM,%RH,101.372
09/08/14 05:03:01 PM,%RH,102.335
09/08/14 05:23:01 PM,%RH,101.372
09/08/14 05:43:01 PM,%RH,100.889
09/08/14 06:03:01 PM,%RH,101.854
09/08/14 06:23:01 PM,%RH,101.372
09/08/14 06:43:01 PM,%RH,101.854
09/08/14 07:03:01 PM,%RH,101.854
09/08/14 07:23:01 PM,%RH,101.372
09/08/14 07:43:01 PM,%RH,101.372
09/08/14 08:03:01 PM,%RH,101.372
09/08/14 08:23:01 PM,%RH,102.335
09/08/14 08:43:01 PM,%RH,101.854
09/08/14 09:03:01 PM,%RH,100.889
09/08/14 09:23:01 PM,%RH,100.889
09/08/14 09:43:01 PM,%RH,101.854
09/08/14 10:03:01 PM,%RH,101.372
09/08/14 10:23:01 PM,%RH,101.372
09/08/14 10:43:01 PM,%RH,101.854
09/08/14 11:03:01 PM,%RH,101.372
09/08/14 11:23:01 PM,%RH,101.372
09/08/14 11:43:01 PM,%RH,101.372
10/08/14 12:03:01 AM,%RH,101.372
10/08/14 12:23:01 AM,%RH,101.854
10/08/14 12:43:01 AM,%RH,101.372
10/08/14 01:03:01 AM,%RH,101.854
10/08/14 01:23:01 AM,%RH,102.335
10/08/14 01:43:01 AM,%RH,101.854
10/08/14 02:03:01 AM,%RH,101.854
10/08/14 02:23:01 AM,%RH,102.335
10/08/14 02:43:01 AM,%RH,101.854
10/08/14 03:03:01 AM,%RH,101.372
10/08/14 03:23:01 AM,%RH,101.372
10/08/14 03:43:01 AM,%RH,102.335
10/08/14 04:03:01 AM,%RH,101.854
10/08/14 04:23:01 AM,%RH,104.242
10/08/14 04:43:01 AM,%RH,102.335
10/08/14 05:03:01 AM,%RH,101.372
10/08/14 05:23:01 AM,%RH,102.335
10/08/14 05:43:01 AM,%RH,101.372
10/08/14 06:03:01 AM,%RH,102.335
10/08/14 06:23:01 AM,%RH,101.854
10/08/14 06:43:01 AM,%RH,101.854
10/08/14 07:03:01 AM,%RH,102.814
10/08/14 07:23:01 AM,%RH,101.372
10/08/14 07:43:01 AM,%RH,101.854
10/08/14 08:03:01 AM,%RH,101.854
10/08/14 08:23:01 AM,%RH,102.335
10/08/14 08:43:01 AM,%RH,102.335
10/08/14 09:03:01 AM,%RH,102.814
10/08/14 09:23:01 AM,%RH,102.814
10/08/14 09:43:01 AM,%RH,101.854
10/08/14 10:03:01 AM,%RH,102.814
10/08/14 10:23:01 AM,%RH,102.814
10/08/14 10:43:01 AM,%RH,101.854
10/08/14 11:03:01 AM,%RH,102.335
10/08/14 11:23:01 AM,%RH,102.335
10/08/14 11:43:01 AM,%RH,102.335
10/08/14 12:03:01 PM,%RH,101.372
10/08/14 12:23:01 PM,%RH,102.335
10/08/14 12:43:01 PM,%RH,102.335
10/08/14 01:03:01 PM,%RH,101.854
10/08/14 01:23:01 PM,%RH,102.335
10/08/14 01:43:01 PM,%RH,101.854
10/08/14 02:03:01 PM,%RH,101.854
10/08/14 02:23:01 PM,%RH,101.854
10/08/14 02:43:01 PM,%RH,101.854
10/08/14 03:03:01 PM,%RH,102.335
10/08/14 03:23:01 PM,%RH,101.372
10/08/14 03:43:01 PM,%RH,101.372
10/08/14 04:03:01 PM,%RH,101.372
10/08/14 04:23:01 PM,%RH,101.372
10/08/14 04:43:01 PM,%RH,101.372
10/08/14 05:03:01 PM,%RH,100.889
10/08/14 05:23:01 PM,%RH,101.372
10/08/14 05:43:01 PM,%RH,101.854
10/08/14 06:03:01 PM,%RH,101.854
10/08/14 06:23:01 PM,%RH,101.854
10/08/14 06:43:01 PM,%RH,101.372
10/08/14 07:03:01 PM,%RH,101.854
10/08/14 07:23:01 PM,%RH,101.854
10/08/14 07:43:01 PM,%RH,101.854
10/08/14 08:03:01 PM,%RH,101.854
10/08/14 08:23:01 PM,%RH,101.854
10/08/14 08:43:01 PM,%RH,101.372
10/08/14 09:03:01 PM,%RH,101.854
10/08/14 09:23:01 PM,%RH,102.335
10/08/14 09:43:01 PM,%RH,101.854
10/08/14 10:03:01 PM,%RH,101.854
10/08/14 10:23:01 PM,%RH,100.404
10/08/14 10:43:01 PM,%RH,103.291
10/08/14 11:03:01 PM,%RH,101.854
10/08/14 11:23:01 PM,%RH,102.814
10/08/14 11:43:01 PM,%RH,101.372
11/08/14 12:03:01 AM,%RH,102.335
11/08/14 12:23:01 AM,%RH,102.335
11/08/14 12:43:01 AM,%RH,101.854
11/08/14 01:03:01 AM,%RH,101.372
11/08/14 01:23:01 AM,%RH,101.854
11/08/14 01:43:01 AM,%RH,102.335
11/08/14 02:03:01 AM,%RH,102.335
11/08/14 02:23:01 AM,%RH,102.335
11/08/14 02:43:01 AM,%RH,100.889
11/08/14 03:03:01 AM,%RH,101.372
11/08/14 03:23:01 AM,%RH,101.854
11/08/14 03:43:01 AM,%RH,101.854
11/08/14 04:03:01 AM,%RH,102.335
11/08/14 04:23:01 AM,%RH,100.889
11/08/14 04:43:01 AM,%RH,100.889
11/08/14 05:03:01 AM,%RH,102.335
11/08/14 05:23:01 AM,%RH,100.889
11/08/14 05:43:01 AM,%RH,101.372
11/08/14 06:03:01 AM,%RH,100.889
11/08/14 06:23:01 AM,%RH,101.854
11/08/14 06:43:01 AM,%RH,101.372
11/08/14 07:03:01 AM,%RH,101.854
11/08/14 07:23:01 AM,%RH,101.854
11/08/14 07:43:01 AM,%RH,101.854
11/08/14 08:03:01 AM,%RH,102.335
11/08/14 08:23:01 AM,%RH,101.372
11/08/14 08:43:01 AM,%RH,102.335
11/08/14 09:03:01 AM,%RH,101.854
11/08/14 09:23:01 AM,%RH,102.335
11/08/14 09:43:01 AM,%RH,101.854
11/08/14 10:03:01 AM,%RH,102.814
11/08/14 10:23:01 AM,%RH,102.335
11/08/14 10:43:01 AM,%RH,101.854
11/08/14 11:03:01 AM,%RH,102.335
11/08/14 11:23:01 AM,%RH,101.854
11/08/14 11:43:01 AM,%RH,101.854
11/08/14 12:03:01 PM,%RH,101.372
11/08/14 12:23:01 PM,%RH,102.335
11/08/14 12:43:01 PM,%RH,102.335
11/08/14 01:03:01 PM,%RH,102.335
11/08/14 01:23:01 PM,%RH,101.372
11/08/14 01:43:01 PM,%RH,101.372
11/08/14 02:03:01 PM,%RH,101.372
11/08/14 02:23:01 PM,%RH,100.889
11/08/14 02:43:01 PM,%RH,102.335
11/08/14 03:03:01 PM,%RH,101.854
11/08/14 03:23:01 PM,%RH,101.854
11/08/14 03:43:01 PM,%RH,101.372
11/08/14 04:03:01 PM,%RH,101.372
11/08/14 04:23:01 PM,%RH,100.889
11/08/14 04:43:01 PM,%RH,100.889
11/08/14 05:03:01 PM,%RH,100.889
11/08/14 05:23:01 PM,%RH,100.889
11/08/14 05:43:01 PM,%RH,101.854
11/08/14 06:03:01 PM,%RH,101.854
11/08/14 06:23:01 PM,%RH,100.889
11/08/14 06:43:01 PM,%RH,100.404
11/08/14 07:03:01 PM,%RH,100.404
11/08/14 07:23:01 PM,%RH,101.854
11/08/14 07:43:01 PM,%RH,102.335
11/08/14 08:03:01 PM,%RH,101.854
11/08/14 08:23:01 PM,%RH,101.372
11/08/14 08:43:01 PM,%RH,101.372
11/08/14 09:03:01 PM,%RH,101.854
11/08/14 09:23:01 PM,%RH,101.854
11/08/14 09:43:01 PM,%RH,101.854
11/08/14 10:03:01 PM,%RH,101.854
11/08/14 10:23:01 PM,%RH,101.854
11/08/14 10:43:01 PM,%RH,101.854
11/08/14 11:03:01 PM,%RH,100.404
11/08/14 11:23:01 PM,%RH,101.372
11/08/14 11:43:01 PM,%RH,101.854
12/08/14 12:03:01 AM,%RH,101.854
12/08/14 12:23:01 AM,%RH,101.854
12/08/14 12:43:01 AM,%RH,101.854
12/08/14 01:03:01 AM,%RH,101.372
12/08/14 01:23:01 AM,%RH,101.854
12/08/14 01:43:01 AM,%RH,101.854
12/08/14 02:03:01 AM,%RH,101.854
12/08/14 02:23:01 AM,%RH,101.372
12/08/14 02:43:01 AM,%RH,100.889
12/08/14 03:03:01 AM,%RH,100.889
12/08/14 03:23:01 AM,%RH,101.372
12/08/14 03:43:01 AM,%RH,100.889
12/08/14 04:03:01 AM,%RH,100.404
12/08/14 04:23:01 AM,%RH,100.404
12/08/14 04:43:01 AM,%RH,100.889
12/08/14 05:03:01 AM,%RH,100.889
12/08/14 05:23:01 AM,%RH,100.889
12/08/14 05:43:01 AM,%RH,100.889
