1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE00000033820441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:22:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:42:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10889
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
07/08/14 11:42:01 PM,%RH,99.955
08/08/14 12:02:01 AM,%RH,99.955
08/08/14 12:22:01 AM,%RH,99.955
08/08/14 12:42:01 AM,%RH,101.386
08/08/14 01:02:01 AM,%RH,100.433
08/08/14 01:22:01 AM,%RH,98.993
08/08/14 01:42:01 AM,%RH,100.433
08/08/14 02:02:01 AM,%RH,100.91
08/08/14 02:22:01 AM,%RH,101.386
08/08/14 02:42:01 AM,%RH,100.91
08/08/14 03:02:01 AM,%RH,100.433
08/08/14 03:22:01 AM,%RH,100.91
08/08/14 03:42:01 AM,%RH,101.386
08/08/14 04:02:01 AM,%RH,100.433
08/08/14 04:22:01 AM,%RH,99.955
08/08/14 04:42:01 AM,%RH,100.433
08/08/14 05:02:01 AM,%RH,100.433
08/08/14 05:22:01 AM,%RH,99.955
08/08/14 05:42:01 AM,%RH,100.91
08/08/14 06:02:01 AM,%RH,101.386
08/08/14 06:22:01 AM,%RH,101.386
08/08/14 06:42:01 AM,%RH,101.86
08/08/14 07:02:01 AM,%RH,101.386
08/08/14 07:22:01 AM,%RH,101.386
08/08/14 07:42:01 AM,%RH,101.386
08/08/14 08:02:01 AM,%RH,102.332
08/08/14 08:22:01 AM,%RH,101.386
08/08/14 08:42:01 AM,%RH,101.86
08/08/14 09:02:01 AM,%RH,100.433
08/08/14 09:22:01 AM,%RH,95.085
08/08/14 09:42:01 AM,%RH,97.051
08/08/14 10:02:01 AM,%RH,99.955
08/08/14 10:22:01 AM,%RH,98.51
08/08/14 10:42:01 AM,%RH,100.433
08/08/14 11:02:01 AM,%RH,101.86
08/08/14 11:22:01 AM,%RH,100.91
08/08/14 11:42:01 AM,%RH,100.91
08/08/14 12:02:01 PM,%RH,100.91
08/08/14 12:22:01 PM,%RH,100.91
08/08/14 12:42:01 PM,%RH,101.386
08/08/14 01:02:01 PM,%RH,101.86
08/08/14 01:22:01 PM,%RH,100.91
08/08/14 01:42:01 PM,%RH,99.475
08/08/14 02:02:01 PM,%RH,99.955
08/08/14 02:22:01 PM,%RH,99.475
08/08/14 02:42:01 PM,%RH,98.025
08/08/14 03:02:01 PM,%RH,96.562
08/08/14 03:22:01 PM,%RH,98.51
08/08/14 03:42:01 PM,%RH,98.51
08/08/14 04:02:01 PM,%RH,100.433
08/08/14 04:22:01 PM,%RH,100.433
08/08/14 04:42:01 PM,%RH,101.86
08/08/14 05:02:01 PM,%RH,101.86
08/08/14 05:22:01 PM,%RH,101.386
08/08/14 05:42:01 PM,%RH,101.386
